南瓜燈	南瓜燈 🎃
器材	器材 🔨 🪓 ⛏️ ⚒️ 🛠️ 🗡️ ⚔️ 💣 🪃 🏹 🛡️ 🪚 🔧 🪛 🔩 ⚙️ 🗜️ ⚖️ 🦯 🔗 ⛓️‍💥 ⛓️ 🪝 🧰 🧲 🪜 🪏
設備	設備 🔨 🪓 ⛏️ ⚒️ 🛠️ 🗡️ ⚔️ 💣 🪃 🏹 🛡️ 🪚 🔧 🪛 🔩 ⚙️ 🗜️ ⚖️ 🦯 🔗 ⛓️‍💥 ⛓️ 🪝 🧰 🧲 🪜 🪏
實驗	實驗 ⚗️ 🧪 🧫 🧬 🔬 🔭 📡
研究	研究 ⚗️ 🧪 🧫 🧬 🔬 🔭 📡
治療	治療 💉 🩸 💊 🩹 🩼 🩺 🩻
家居	家居 🚪 🛗 🪞 🪟 🛏️ 🛋️ 🪑 🚽 🪠 🚿 🛁 🪤 🪒 🧴 🧷 🧹 🧺 🧻 🪣 🧼 🫧 🪥 🧽 🧯 🛒
家庭	家庭 🚪 🛗 🪞 🪟 🛏️ 🛋️ 🪑 🚽 🪠 🚿 🛁 🪤 🪒 🧴 🧷 🧹 🧺 🧻 🪣 🧼 🫧 🪥 🧽 🧯 🛒
生活	生活 🚪 🛗 🪞 🪟 🛏️ 🛋️ 🪑 🚽 🪠 🚿 🛁 🪤 🪒 🧴 🧷 🧹 🧺 🧻 🪣 🧼 🫧 🪥 🧽 🧯 🛒
其他物品	其他物品 🚬 ⚰️ 🪦 ⚱️ 🧿 🪬 🗿 🪧 🪪
雜物	雜物 🚬 ⚰️ 🪦 ⚱️ 🧿 🪬 🗿 🪧 🪪
物品	物品 🚬 ⚰️ 🪦 ⚱️ 🧿 🪬 🗿 🪧 🪪
手指張開	手指張開 👋 🤚 🖐️ ✋ 🖖 🫱 🫲 🫳 🫴 🫷 🫸
手指部分	手指部分 👌 🤌 🤏 ✌️ 🤞 🫰 🤟 🤘 🤙
握拳	握拳 👍 👎 ✊ 👊 🤛 🤜
雙手	雙手 👏 🙌 🫶 👐 🤲 🤝 🙏
手持物	手持物 ✍️ 💅 🤳
愛意	愛意 🥰 😍 🤩 😘 😗 ☺️ 😚 😙 🥲
心愛	心愛 🥰 😍 🤩 😘 😗 ☺️ 😚 😙 🥲
情感	情感 🥰 😍 🤩 😘 😗 ☺️ 😚 😙 🥲 💌 💘 💝 💖 💗 💓 💞 💕 💟 ❣️ 💔 ❤️‍🔥 ❤️‍🩹 ❤️ 🩷 🧡 💛 💚 💙 🩵 💜 🤎 🖤 🩶 🤍 💋 💯 💢 💥 💫 💦 💨 🕳️ 💬 👁️‍🗨️ 🗨️ 🗯️ 💭 💤
舌頭	舌頭 😋 😛 😜 🤪 😝 🤑
手臉	手臉 🤗 🤭 🫢 🫣 🤫 🤔 🫡
中性	中性 🤐 🤨 😐 😑 😶 🫥 😶‍🌫️ 😏 😒 🙄 😬 😮‍💨 🤥 🫨 🙂‍↔️ 🙂‍↕️
睡臉	睡臉 😌 😔 😪 🤤 😴 🫩
不適	不適 😷 🤒 🤕 🤢 🤮 🤧 🥵 🥶 🥴 😵 😵‍💫 🤯
病臉	病臉 😷 🤒 🤕 🤢 🤮 🤧 🥵 🥶 🥴 😵 😵‍💫 🤯
帽臉	帽臉 🤠 🥳 🥸
擔憂	擔憂 😕 🫤 😟 🙁 ☹️ 😮 😯 😲 😳 🥺 🥹 😦 😧 😨 😰 😥 😢 😭 😱 😖 😣 😞 😓 😩 😫 🥱
負面	負面 😤 😡 😠 🤬 😈 👿 💀 ☠️
裝扮	裝扮 💩 🤡 👹 👺 👻 👽 👾 🤖
心	心 💌 💘 💝 💖 💗 💓 💞 💕 💟 ❣️ 💔 ❤️‍🔥 ❤️‍🩹 ❤️ 🩷 🧡 💛 💚 💙 🩵 💜 🤎 🖤 🩶 🤍
交通標誌	交通標誌 🏧 🚮 🚰 ♿ 🚹 🚺 🚻 🚼 🚾 🛂 🛃 🛄 🛅
指示	指示 🏧 🚮 🚰 ♿ 🚹 🚺 🚻 🚼 🚾 🛂 🛃 🛄 🛅
箭頭	箭頭 ⬆️ ↗️ ➡️ ↘️ ⬇️ ↙️ ⬅️ ↖️ ↕️ ↔️ ↩️ ↪️ ⤴️ ⤵️ 🔃 🔄 🔙 🔚 🔛 🔜 🔝
指向	指向 ⬆️ ↗️ ➡️ ↘️ ⬇️ ↙️ ⬅️ ↖️ ↕️ ↔️ ↩️ ↪️ ⤴️ ⤵️ 🔃 🔄 🔙 🔚 🔛 🔜 🔝
方向	方向 ⬆️ ↗️ ➡️ ↘️ ⬇️ ↙️ ⬅️ ↖️ ↕️ ↔️ ↩️ ↪️ ⤴️ ⤵️ 🔃 🔄 🔙 🔚 🔛 🔜 🔝
宗教	宗教 🛐 ⚛️ 🕉️ ✡️ ☸️ ☯️ ✝️ ☦️ ☪️ ☮️ 🕎 🔯 🪯 ⛪ 🕌 🛕 🕍 ⛩️ 🕋
神聖	神聖 🛐 ⚛️ 🕉️ ✡️ ☸️ ☯️ ✝️ ☦️ ☪️ ☮️ 🕎 🔯 🪯
占星	占星 ♈ ♉ ♊ ♋ ♌ ♍ ♎ ♏ ♐ ♑ ♒ ♓ ⛎
十二宮	十二宮 ♈ ♉ ♊ ♋ ♌ ♍ ♎ ♏ ♐ ♑ ♒ ♓ ⛎
媒體符號	媒體符號 🔀 🔁 🔂 ▶️ ⏩ ⏭️ ⏯️ ◀️ ⏪ ⏮️ 🔼 ⏫ 🔽 ⏬ ⏸️ ⏹️ ⏺️ ⏏️ 🎦 🔅 🔆 📶 🛜 📳 📴
數學	數學 ✖️ ➕ ➖ ➗ 🟰 ♾️
標點	標點 ‼️ ⁉️ ❓ ❔ ❕ ❗ 〰️
表達	表達 ‼️ ⁉️ ❓ ❔ ❕ ❗ 〰️
金融	金融 💱 💲
其他符號	其他符號 ⚕️ ♻️ ⚜️ 🔱 📛 🔰 ⭕ ✅ ☑️ ✔️ ❌ ❎ ➰ ➿ 〽️ ✳️ ✴️ ❇️ ©️ ®️ ™️ 🫟
特殊	特殊 ⚕️ ♻️ ⚜️ 🔱 📛 🔰 ⭕ ✅ ☑️ ✔️ ❌ ❎ ➰ ➿ 〽️ ✳️ ✴️ ❇️ ©️ ®️ ™️ 🫟
按鍵帽	按鍵帽 #️⃣ *️⃣ 0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟
按鍵	按鍵 #️⃣ *️⃣ 0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟
字母數字	字母數字 🔠 🔡 🔢 🔣 🔤 🅰️ 🆎 🅱️ 🆑 🆒 🆓 ℹ️ 🆔 Ⓜ️ 🆕 🆖 🅾️ 🆗 🅿️ 🆘 🆙 🆚 🈁 🈂️ 🈷️ 🈶 🈯 🉐 🈹 🈚 🈲 🉑 🈸 🈴 🈳 ㊗️ ㊙️ 🈺 🈵
幾何	幾何 🔴 🟠 🟡 🟢 🔵 🟣 🟤 ⚫ ⚪ 🟥 🟧 🟨 🟩 🟦 🟪 🟫 ⬛ ⬜ ◼️ ◻️ ◾ ◽ ▪️ ▫️ 🔶 🔷 🔸 🔹 🔺 🔻 💠 🔘 🔳 🔲
圖形	圖形 🔴 🟠 🟡 🟢 🔵 🟣 🟤 ⚫ ⚪ 🟥 🟧 🟨 🟩 🟦 🟪 🟫 ⬛ ⬜ ◼️ ◻️ ◾ ◽ ▪️ ▫️ 🔶 🔷 🔸 🔹 🔺 🔻 💠 🔘 🔳 🔲
形狀	形狀 🔴 🟠 🟡 🟢 🔵 🟣 🟤 ⚫ ⚪ 🟥 🟧 🟨 🟩 🟦 🟪 🟫 ⬛ ⬜ ◼️ ◻️ ◾ ◽ ▪️ ▫️ 🔶 🔷 🔸 🔹 🔺 🔻 💠 🔘 🔳 🔲
地理	地理 🏔️ ⛰️ 🌋 🗻 🏕️ 🏖️ 🏜️ 🏝️ 🏞️
建築	建築 🏟️ 🏛️ 🏗️ 🧱 🪨 🪵 🛖 🏘️ 🏚️ 🏠 🏡 🏢 🏣 🏤 🏥 🏦 🏨 🏩 🏪 🏫 🏬 🏭 🏯 🏰 💒 🗼 🗽
其他	其他 ⛲ ⛺ 🌁 🌃 🏙️ 🌄 🌅 🌆 🌇 🌉 ♨️ 🎠 🛝 🎡 🎢 💈 🎪
陸地交通	陸地交通 🚂 🚃 🚄 🚅 🚆 🚇 🚈 🚉 🚊 🚝 🚞 🚋 🚌 🚍 🚎 🚐 🚑 🚒 🚓 🚔 🚕 🚖 🚗 🚘 🚙 🛻 🚚 🚛 🚜 🏎️ 🏍️ 🛵 🦽 🦼 🛺 🚲 🛴 🛹 🛼 🚏 🛣️ 🛤️ 🛢️ ⛽ 🛞 🚨 🚥 🚦 🛑 🚧
水上交通	水上交通 ⚓ 🛟 ⛵ 🛶 🚤 🛳️ ⛴️ 🛥️ 🚢
空中交通	空中交通 ✈️ 🛩️ 🛫 🛬 🪂 💺 🚁 🚟 🚠 🚡 🛰️ 🚀 🛸
旅館	旅館 🛎️ 🧳
住宿	住宿 🛎️ 🧳
時間	時間 ⌛ ⏳ ⌚ ⏰ ⏱️ ⏲️ 🕰️ 🕛 🕧 🕐 🕜 🕑 🕝 🕒 🕞 🕓 🕟 🕔 🕠 🕕 🕡 🕖 🕢 🕗 🕣 🕘 🕤 🕙 🕥 🕚 🕦
時鐘	時鐘 ⌛ ⏳ ⌚ ⏰ ⏱️ ⏲️ 🕰️ 🕛 🕧 🕐 🕜 🕑 🕝 🕒 🕞 🕓 🕟 🕔 🕠 🕕 🕡 🕖 🕢 🕗 🕣 🕘 🕤 🕙 🕥 🕚 🕦
計時	計時 ⌛ ⏳ ⌚ ⏰ ⏱️ ⏲️ 🕰️ 🕛 🕧 🕐 🕜 🕑 🕝 🕒 🕞 🕓 🕟 🕔 🕠 🕕 🕡 🕖 🕢 🕗 🕣 🕘 🕤 🕙 🕥 🕚 🕦
天空與天氣	天空與天氣 🌑 🌒 🌓 🌔 🌕 🌖 🌗 🌘 🌙 🌚 🌛 🌜 🌡️ ☀️ 🌝 🌞 🪐 ⭐ 🌟 🌠 🌌 ☁️ ⛅ ⛈️ 🌤️ 🌥️ 🌦️ 🌧️ 🌨️ 🌩️ 🌪️ 🌫️ 🌬️ 🌀 🌈 🌂 ☂️ ☔ ⛱️ ⚡ ❄️ ☃️ ⛄ ☄️ 🔥 💧 🌊
爛	爛 👎
寫	寫 ✍️
左轉	左轉 ↩️
右轉	右轉 ↪️
上下轉	上下轉 🔃
啟用	啟用 🔛
很快	很快 🔜
失敗	失敗 💥
成功	成功 ✅
通過	通過 ☑️
進行中	進行中 🔄
等待	等待 ⌛
完成	完成 🏁
回傳	回傳 🔙
重試	重試 🔁
重啟	重啟 🔄
記錄	記錄 📝
運行	運行 ▶️
中止	中止 🛑
部署	部署 🚀
設置	設置 ⚙️
除錯	除錯 🐞
備註	備註 💬
追蹤	追蹤 📍
搜尋	搜尋 🔍
測試	測試 🧪
更新	更新 🔃
同步	同步 🔄
分支	分支 🌿
合併	合併 🔀
版本	版本 🧾
密鑰	密鑰 🔑
授權	授權 🛡️
風險	風險 ☢️
驗證	驗證 🔐
數據	數據 📊
圖表	圖表 📊
趨勢	趨勢 📈
資料庫	資料庫 🗄️
儲存	儲存 💾
接口	接口 🔌
抽象	抽象 🧩
實作	實作 🛠️
類別	類別 🧱
實例	實例 🧍
服務	服務 🛎️
模組	模組 📦
檢查器	檢查器 🧐
邏輯	邏輯 ♻️
流程	流程 🔁
資源	資源 📚
中介層	中介層 🪟
任務	任務 📋
指令	指令 📜
依賴	依賴 🧷
配置	配置 🧰
記憶體	記憶體 🧠
